,address_name,price,square_price,floors,total_floors,rooms,area,local,type_home,remont,balcon
0,"улица Липчанского, 6",10400000,266666,17,17,1,39.0,Москва,loyout,design,1
1,"Полоцкая улица, 25к1",16400000,431578,16,16,1,38.0,Москва,loyout,design,1
2,"Алма-Атинская улица, 8к1",13950000,367105,14,14,1,38.0,Москва,loyout,design,1
3,"улица Маршала Голованова, 13",11900000,316489,17,17,1,37.6,Москва,loyout,design,1
4,"улица Введенского, 20к1",13300000,380000,9,9,1,35.0,Москва,loyout,design,1
5,"Профсоюзная улица, 85к1",13800000,431250,9,9,1,32.0,Москва,loyout,design,1
6,"Сочинская улица, 3к1",11200000,297082,17,17,1,37.7,Москва,loyout,design,1
7,"улица Чичерина, 2/9",12650000,316250,16,16,1,40.0,Москва,loyout,design,1
8,"Бачуринская улица, 19",10650000,257246,16,16,1,41.4,посёлок Коммунарка,loyout,design,1
9,"улица Знаменские Садки, 11",10450000,261250,22,22,1,40.0,Москва,loyout,design,1
10,"улица Липчанского, 2",9142000,235012,17,17,1,38.9,Москва,loyout,without_repair,1
11,"Каширское шоссе, 80к1",10500000,280748,17,17,1,37.4,Москва,loyout,without_repair,1
12,"2-я Вольская улица, 7к1",7800000,208000,17,17,1,37.5,Москва,loyout,without_repair,1
13,"Цимлянская улица, 2",9300000,245382,17,17,1,37.9,Москва,loyout,without_repair,1
14,"улица Липчанского, 2",9142000,235012,17,17,1,38.9,Москва,loyout,without_repair,1
15,"Таллинская улица, 13к3",11200000,290155,12,12,1,38.6,Москва,loyout,without_repair,1
16,"Ясеневая улица, 31к2",8800000,256559,9,9,1,34.3,Москва,loyout,without_repair,1
17,"Рублёвское шоссе, 44к1",12500000,328947,23,23,1,38.0,Москва,loyout,without_repair,1
18,"Ярцевская улица, 27к2",13000000,381231,16,16,1,34.1,Москва,loyout,without_repair,1
19,"улица Маршала Савицкого, 18к2",8550000,198837,14,14,1,43.0,Москва,loyout,without_repair,1
20,"Ясеневая улица, 12к2",12300000,345505,25,25,1,35.6,Москва,loyout,standard,1
21,"улица Руднёвка, 7",9500000,243589,17,17,1,39.0,Москва,loyout,standard,1
22,"2-я Пугачёвская улица, 9к1",9999000,256384,12,12,1,39.0,Москва,loyout,standard,1
23,"улица Юных Ленинцев, 47к3",10600000,282666,9,9,1,37.5,Москва,loyout,standard,1
24,"Ставропольский проезд, 3",9200000,240837,19,19,1,38.2,Москва,loyout,standard,1
25,"улица Грина, 9",11800000,306493,17,17,1,38.5,Москва,loyout,standard,1
26,"Хабаровская улица, 2",8500000,220779,17,17,1,38.5,Москва,loyout,standard,1
27,"Луговой проезд, 9к1",10500000,270618,12,12,1,38.8,Москва,loyout,standard,1
28,"улица Авиаторов, 5к1",10200000,270557,17,17,1,37.7,Москва,loyout,standard,1
29,"Клинская улица, 10к1",11500000,312500,17,17,1,36.8,Москва,loyout,standard,1
30,"Юрловский проезд, 14к1",12499999,337837,17,17,1,37.0,Москва,loyout,well_done,1
31,"улица Поляны, 7",11000000,284974,22,22,1,38.6,Москва,loyout,well_done,1
32,"улица Красного Маяка, 17к1",11500000,324858,17,17,1,35.4,Москва,loyout,well_done,1
33,"Пролетарский проспект, 3",10700000,323262,22,22,1,33.1,Москва,loyout,well_done,1
34,"улица Лобачевского, 2",14200000,410404,13,13,1,34.6,Москва,loyout,well_done,1
35,"Щёлковское шоссе, 26к3",13300000,352785,17,17,1,37.7,Москва,loyout,well_done,1
36,"Бескудниковский бульвар, 52к1",12800000,320802,22,22,1,39.9,Москва,loyout,well_done,1
37,"Цимлянская улица, 2",12399999,309999,17,17,1,40.0,Москва,loyout,well_done,1
38,"Варшавское шоссе, 142к2",11499000,312472,16,16,1,36.8,Москва,loyout,well_done,1
39,"улица Лаптева, 6к1",9350000,242857,17,17,1,38.5,Московский,loyout,well_done,1
40,"улица Ивана Сусанина, 4к3",8750000,250000,12,12,1,35.0,Москва,flat,standard,1
41,"Заревый проезд, 10",12000000,345821,16,16,1,34.7,Москва,flat,standard,1
42,"Новокосинская улица, 24к2",9750000,256578,17,17,1,38.0,Москва,flat,standard,1
43,"улица Лётчика Грицевца, 12",9450000,248684,17,17,1,38.0,Москва,flat,standard,1
44,"5-я улица Соколиной Горы, 23к2",10750000,335937,5,5,1,32.0,Москва,flat,standard,1
45,"Донецкая улица, 12",9590000,252368,16,16,1,38.0,Москва,flat,standard,1
46,"улица Марьинский Парк, 5к3",9300000,251351,14,14,1,37.0,Москва,flat,standard,1
47,"улица Дыбенко, 10к1",13250000,373239,14,14,1,35.5,Москва,flat,standard,1
48,"Сиреневый бульвар, 27к3",9200000,296774,5,5,1,31.0,Москва,flat,standard,1
49,"улица Мусы Джалиля, 23/56",10400000,260000,16,16,1,40.0,Москва,flat,standard,1
50,"Шипиловская улица, 38",5000000,301204,9,9,1,16.6,Москва,flat,well_done,1
51,"Клинская улица, 10к1",13700000,372282,17,17,1,36.8,Москва,flat,well_done,1
52,"Перервинский бульвар, 22к1",12200000,290476,9,9,1,42.0,Москва,flat,well_done,1
53,"Лукинская улица, 16к1",10500000,280748,22,22,1,37.4,Москва,flat,well_done,1
54,"улица Поликарпова, 19к2",14400000,416184,16,16,1,34.6,Москва,flat,well_done,1
55,"Новгородская улица, 14",11000000,333333,16,16,1,33.0,Москва,flat,well_done,1
56,"3-я Нововатутинская улица, 13к1",8000000,235294,17,17,1,34.0,Москва,flat,well_done,1
57,"улица Бианки, 6к2",10000000,236966,25,25,1,42.2,Московский,flat,well_done,1
58,"Волгоградский проспект, 159к2",10800000,340694,5,5,1,31.7,Москва,flat,well_done,1
59,"улица Дмитрия Ульянова, 27",16649000,461191,19,19,1,36.1,Москва,flat,well_done,1
60,"Варшавское шоссе, 122",15900000,283422,17,17,2,56.1,Москва,loyout,standard,1
61,"улица Главмосстроя, 14",20690000,227863,25,25,2,90.8,Москва,loyout,standard,1
62,"улица Москвитина, 1к2",13900000,242160,25,25,2,57.4,Московский,loyout,standard,1
63,"Люблинская улица, 59",15100000,243548,17,17,2,62.0,Москва,loyout,standard,1
64,"Беловежская улица, 37к1",14650000,250000,24,24,2,58.6,Москва,loyout,standard,1
65,"улица Лётчика Ульянина, 6",15000000,256849,24,24,2,58.4,Москва,loyout,standard,1
66,"улица Академика Варги, 26",11000000,246085,12,12,2,44.7,Москва,loyout,standard,1
67,"улица Менжинского, 38к3",16350000,297272,16,16,2,55.0,Москва,loyout,standard,1
68,"улица Перерва, 14",10800000,240000,9,9,2,45.0,Москва,loyout,standard,1
69,"посёлок Рогово, 18",5800000,111111,5,5,2,52.2,посёлок Рогово,loyout,standard,1
70,"Зелёный проспект, 62к3",16800000,322456,12,12,2,52.1,Москва,loyout,well_done,1
71,"улица Полины Осипенко, 2к3",23490000,391500,25,25,2,60.0,Москва,loyout,well_done,1
72,"Каскадная улица, 20к3",13750000,269607,16,16,2,51.0,Москва,loyout,well_done,1
73,"Солнечногорская улица, 22",17200000,318518,12,12,2,54.0,Москва,loyout,well_done,1
74,"улица Поляны, 5",14500000,267034,31,31,2,54.3,Москва,loyout,well_done,1
75,"Алтуфьевское шоссе, 88",16000000,273972,23,23,2,58.4,Москва,loyout,well_done,1
76,"улица Стромынка, 13",23000000,383333,16,16,2,60.0,Москва,loyout,well_done,1
77,"улица Академика Пилюгина, 6",28900000,415229,17,17,2,69.6,Москва,loyout,well_done,1
78,"Косинская улица, 28к3",12650000,257113,9,9,2,49.2,Москва,loyout,well_done,1
79,"1-я Нововатутинская улица, 1",12800000,235727,17,17,2,54.3,Москва,loyout,well_done,1
80,"Алтуфьевское шоссе, 87к3",14300000,267289,16,16,2,53.5,Москва,flat,standard,1
81,"Нежинская улица, 19к1",13000000,330788,16,16,2,39.3,Москва,flat,standard,1
82,"бульвар Дмитрия Донского, 9к1",16000000,313725,17,17,2,51.0,Москва,flat,standard,1
83,"Алтуфьевское шоссе, 64",16500000,317307,12,12,2,52.0,Москва,flat,standard,1
84,"Ереванская улица, 16к3",17000000,377777,5,5,2,45.0,Москва,flat,standard,1
85,"улица Вилиса Лациса, 35",15500000,295801,16,16,2,52.4,Москва,flat,standard,1
86,"Онежская улица, 53к3",16300000,274873,17,17,2,59.3,Москва,flat,standard,1
87,"Новочеркасский бульвар, 55",15100000,274545,17,17,2,55.0,Москва,flat,standard,1
88,"улица Менжинского, 38к3",16000000,290909,16,16,2,55.0,Москва,flat,standard,1
89,"улица Поляны, 9",14350000,247413,14,14,2,58.0,Москва,flat,standard,1
90,"Новочерёмушкинская улица, 57к1",19700000,386274,17,17,2,51.0,Москва,flat,well_done,1
91,"Абрамцевская улица, 9к1",15400000,296724,12,12,2,51.9,Москва,flat,well_done,1
92,"улица Маршала Савицкого, 12",12500000,209380,17,17,2,59.7,Москва,flat,well_done,1
93,"Новоорловская улица, 8к2",13990000,269038,14,14,2,52.0,Москва,flat,well_done,1
94,"улица Лётчика Грицевца, 8",14400000,238016,17,17,2,60.5,Москва,flat,well_done,1
95,"улица Александры Монаховой, 101",14300000,214071,17,17,2,66.8,Москва,flat,well_done,1
96,"Отрадная улица, 3",15500000,306930,16,16,2,50.5,Москва,flat,well_done,1
97,"Матвеевская улица, 7",16999000,333313,16,16,2,51.0,Москва,flat,well_done,1
98,"Зеленоград, к1606",14000000,269749,17,17,2,51.9,Зеленоград,flat,well_done,1
99,"1-й микрорайон, 3",9400000,212189,5,5,2,44.3,Московский,flat,well_done,1
100,"8-я улица Соколиной Горы, 8к2",29000000,353658,22,22,3,82.0,Москва,loyout,standard,1
101,"Большая Филёвская улица, 43",19200000,323232,9,9,3,59.4,Москва,loyout,standard,1
102,"жилой комплекс Новое Очаково, к1.4",21400000,266169,33,33,3,80.4,Москва,loyout,standard,1
103,"Новочеркасский бульвар, 47",19500000,260000,17,17,3,75.0,Москва,loyout,standard,1
104,"улица Плеханова, 29к1",18900000,243870,17,17,3,77.5,Москва,loyout,standard,1
105,"улица Крылатские Холмы, 30к4",21000000,262500,17,17,3,80.0,Москва,loyout,standard,1
106,"Озёрная улица, 11",16599000,268158,12,12,3,61.9,Москва,loyout,standard,1
107,"Полярная улица, 52к4",13990000,237118,9,9,3,59.0,Москва,loyout,standard,1
108,"Коровинское шоссе, 14к1",14000000,221870,12,12,3,63.1,Москва,loyout,standard,1
109,"бульвар Адмирала Ушакова, 9",17800000,219482,22,22,3,81.1,Москва,loyout,standard,1
