,address_name,price,square_price,floors,total_floors,rooms,area,local,type_home,remont,balcon
0,"улица Липчанского, 6",10400000,266666,17,17,1,39.0,Москва,loyout,design,1
1,"Полоцкая улица, 25к1",16400000,431578,16,16,1,38.0,Москва,loyout,design,1
2,"Алма-Атинская улица, 8к1",13950000,367105,14,14,1,38.0,Москва,loyout,design,1
3,"улица Маршала Голованова, 13",11900000,316489,17,17,1,37.6,Москва,loyout,design,1
4,"улица Введенского, 20к1",13300000,380000,9,9,1,35.0,Москва,loyout,design,1
5,"Профсоюзная улица, 85к1",13800000,431250,9,9,1,32.0,Москва,loyout,design,1
6,"Сочинская улица, 3к1",11200000,297082,17,17,1,37.7,Москва,loyout,design,1
7,"улица Чичерина, 2/9",12650000,316250,16,16,1,40.0,Москва,loyout,design,1
8,"Бачуринская улица, 19",10650000,257246,16,16,1,41.4,посёлок Коммунарка,loyout,design,1
9,"улица Знаменские Садки, 11",10450000,261250,22,22,1,40.0,Москва,loyout,design,1
10,"Береговой проезд, 9к5",17600000,451282,12,12,1,39.0,Москва,loyout,design,2
11,"улица Академика Глушко, 14к1",12000000,307692,12,12,1,39.0,Москва,loyout,design,2
12,"Измайловское шоссе, 17",13300000,375706,14,14,1,35.4,Москва,loyout,design,2
13,"Клязьминская улица, 17",11850000,307792,14,14,1,38.5,Москва,loyout,design,2
14,"Алма-Атинская улица, 10к1",10500000,272020,14,14,1,38.6,Москва,loyout,design,2
15,"Филёвский бульвар, 8к1",14500000,337209,12,12,1,43.0,Москва,loyout,design,2
16,"Новочеркасский бульвар, 49",13000000,298850,14,14,1,43.5,Москва,loyout,design,2
17,"улица Санникова, 3к1",11800000,310526,17,17,1,38.0,Москва,loyout,without_repair,1
18,"Солнечная улица, 11",7850000,207671,17,17,1,37.8,Московский,loyout,without_repair,1
19,"улица Липчанского, 2",9118000,235000,17,17,1,38.8,Москва,loyout,without_repair,1
20,"Дубнинская улица, 28к2",9300000,237244,12,12,1,39.2,Москва,loyout,without_repair,1
21,"Краснодарская улица, 12",8000000,227272,9,9,1,35.2,Москва,loyout,without_repair,1
22,"Илимская улица, 8/2",9200000,244031,16,16,1,37.7,Москва,loyout,without_repair,1
23,"Юрьевская улица, 11",9400000,293750,9,9,1,32.0,Москва,loyout,without_repair,1
24,"Люблинская улица, 61",10500000,276315,17,17,1,38.0,Москва,loyout,without_repair,1
25,"Сколковское шоссе, 8",9400000,284848,12,12,1,33.0,Москва,loyout,without_repair,1
26,"Коровинское шоссе, 3к2",10500000,283783,14,14,1,37.0,Москва,loyout,without_repair,1
27,"Стрелецкая улица, 9к2",13990000,349750,14,14,1,40.0,Москва,loyout,without_repair,2
28,"улица Академика Янгеля, 14к3",10200000,260869,12,12,1,39.1,Москва,loyout,without_repair,2
29,"Воронежская улица, 32к2",9500000,246113,12,12,1,38.6,Москва,loyout,without_repair,2
30,"Кустанайская улица, 7к4",10490000,268286,14,14,1,39.1,Москва,loyout,without_repair,2
31,"Кустанайская улица, 7к4",10150000,247560,14,14,1,41.0,Москва,loyout,without_repair,2
32,"Старобитцевская улица, 23к1",9570000,222558,14,14,1,43.0,Москва,loyout,without_repair,2
33,"улица Берзарина, 21",9700000,253926,17,17,1,38.2,Москва,loyout,standard,1
34,"улица Бориса Пастернака, 47",10600000,279683,17,17,1,37.9,Москва,loyout,standard,1
35,"Венёвская улица, 9",10300000,271052,17,17,1,38.0,Москва,loyout,standard,1
36,"проспект Вернадского, 50А",10990000,333030,16,16,1,33.0,Москва,loyout,standard,1
37,"Юрловский проезд, 14к1",11900000,321621,17,17,1,37.0,Москва,loyout,standard,1
38,"Чертановская улица, 57",8200000,227777,9,9,1,36.0,Москва,loyout,standard,1
39,"улица Раменки, 9к2",14450000,370512,17,17,1,39.0,Москва,loyout,standard,1
40,"Клязьминская улица, 4",8800000,252149,12,12,1,34.9,Москва,loyout,standard,1
41,"Тарханская улица, 6",11000000,268292,16,16,1,41.0,Москва,loyout,standard,1
42,"Чечёрский проезд, 24к2",8600000,286666,12,12,1,30.0,Москва,loyout,standard,1
43,"улица Ротерта, 11",10300000,266839,12,12,1,38.6,Москва,loyout,standard,2
44,"Мичуринский проспект, 21к1",16500000,431937,17,17,1,38.2,Москва,loyout,standard,2
45,"Липецкая улица, 13",9900000,253846,12,12,1,39.0,Москва,loyout,standard,2
46,"улица Амундсена, 5",12490000,318622,12,12,1,39.2,Москва,loyout,standard,2
47,"Задонский проезд, 34к1",10300000,250000,14,14,1,41.2,Москва,loyout,standard,2
48,"улица Лескова, 23",9990000,254846,12,12,1,39.2,Москва,loyout,standard,2
49,"Хабаровская улица, 8",9800000,233333,12,12,1,42.0,Москва,loyout,standard,2
50,"Загорьевская улица, 23к2",9750000,252590,12,12,1,38.6,Москва,loyout,standard,2
51,"Магнитогорская улица, 3",9000000,229591,12,12,1,39.2,Москва,loyout,standard,2
52,"Зеленоград, к1621",8900000,228205,14,14,1,39.0,Зеленоград,loyout,standard,2
53,"Большая Филёвская улица, 43",14000000,404624,9,9,1,34.6,Москва,loyout,well_done,1
54,"улица Маршала Голованова, 20",11700000,309523,16,16,1,37.8,Москва,loyout,well_done,1
55,"улица Бестужевых, 17",11700000,334285,16,16,1,35.0,Москва,loyout,well_done,1
56,"Челобитьевское шоссе, 14к3",11500000,301837,22,22,1,38.1,Москва,loyout,well_done,1
57,"Белозерская улица, 17",10000000,266666,16,16,1,37.5,Москва,loyout,well_done,1
58,"улица Никитина, 12",9700000,259358,17,17,1,37.4,Московский,loyout,well_done,1
59,"Большая Академическая улица, 77к2",13300000,332500,16,16,1,40.0,Москва,loyout,well_done,1
60,"Зеленоград, к1501",8600000,225721,14,14,1,38.1,Зеленоград,loyout,well_done,1
61,"Ярославское шоссе, 135",9500000,295031,9,9,1,32.2,Москва,loyout,well_done,1
62,"улица Николая Химушина, 1",8999999,267857,9,9,1,33.6,Москва,loyout,well_done,1
63,"Зеленоград, к1107",8900000,258720,22,22,1,34.4,Зеленоград,loyout,well_done,2
64,"Ленинградское шоссе, 29",16999999,407673,17,17,1,41.7,Москва,loyout,well_done,2
65,"улица Академика Анохина, 2к3",20500000,366071,21,21,1,56.0,Москва,loyout,well_done,2
66,"Филёвский бульвар, 16",12350000,307980,16,16,1,40.1,Москва,loyout,well_done,2
67,"Челябинская улица, 6",12000000,303797,12,12,1,39.5,Москва,loyout,well_done,2
68,"Куликовская улица, 9к1",12500000,321336,12,12,1,38.9,Москва,loyout,well_done,2
69,"Домодедовская улица, 6к2",12000000,309278,12,12,1,38.8,Москва,loyout,well_done,2
70,"Кантемировская улица, 16к2",11700000,302325,14,14,1,38.7,Москва,loyout,well_done,2
71,"Дубнинская улица, 22к3",11000000,276381,12,12,1,39.8,Москва,loyout,well_done,2
72,"Зеленоград, к1620",8500000,199063,14,14,1,42.7,Зеленоград,loyout,well_done,2
73,"улица Липчанского, 6",10400000,266666,17,17,1,39.0,Москва,flat,design,1
74,"Полоцкая улица, 25к1",16400000,431578,16,16,1,38.0,Москва,flat,design,1
75,"Алма-Атинская улица, 8к1",13950000,367105,14,14,1,38.0,Москва,flat,design,1
76,"улица Маршала Голованова, 13",11900000,316489,17,17,1,37.6,Москва,flat,design,1
77,"улица Введенского, 20к1",13300000,380000,9,9,1,35.0,Москва,flat,design,1
78,"Профсоюзная улица, 85к1",13800000,431250,9,9,1,32.0,Москва,flat,design,1
79,"Сочинская улица, 3к1",11200000,297082,17,17,1,37.7,Москва,flat,design,1
80,"улица Чичерина, 2/9",12650000,316250,16,16,1,40.0,Москва,flat,design,1
81,"Бачуринская улица, 19",10650000,257246,16,16,1,41.4,посёлок Коммунарка,flat,design,1
82,"улица Знаменские Садки, 11",10450000,261250,22,22,1,40.0,Москва,flat,design,1
83,"Береговой проезд, 9к5",17600000,451282,12,12,1,39.0,Москва,flat,design,2
84,"улица Академика Глушко, 14к1",12000000,307692,12,12,1,39.0,Москва,flat,design,2
85,"Измайловское шоссе, 17",13300000,375706,14,14,1,35.4,Москва,flat,design,2
86,"Клязьминская улица, 17",11850000,307792,14,14,1,38.5,Москва,flat,design,2
87,"Алма-Атинская улица, 10к1",10500000,272020,14,14,1,38.6,Москва,flat,design,2
88,"Филёвский бульвар, 8к1",14500000,337209,12,12,1,43.0,Москва,flat,design,2
89,"Новочеркасский бульвар, 49",13000000,298850,14,14,1,43.5,Москва,flat,design,2
90,"улица Санникова, 3к1",11800000,310526,17,17,1,38.0,Москва,flat,without_repair,1
91,"Солнечная улица, 11",7850000,207671,17,17,1,37.8,Московский,flat,without_repair,1
92,"улица Липчанского, 2",9118000,235000,17,17,1,38.8,Москва,flat,without_repair,1
93,"Дубнинская улица, 28к2",9300000,237244,12,12,1,39.2,Москва,flat,without_repair,1
94,"Краснодарская улица, 12",8000000,227272,9,9,1,35.2,Москва,flat,without_repair,1
95,"Илимская улица, 8/2",9200000,244031,16,16,1,37.7,Москва,flat,without_repair,1
96,"Юрьевская улица, 11",9400000,293750,9,9,1,32.0,Москва,flat,without_repair,1
97,"Люблинская улица, 61",10500000,276315,17,17,1,38.0,Москва,flat,without_repair,1
98,"Сколковское шоссе, 8",9400000,284848,12,12,1,33.0,Москва,flat,without_repair,1
99,"Коровинское шоссе, 3к2",10500000,283783,14,14,1,37.0,Москва,flat,without_repair,1
100,"Стрелецкая улица, 9к2",13990000,349750,14,14,1,40.0,Москва,flat,without_repair,2
101,"улица Академика Янгеля, 14к3",10200000,260869,12,12,1,39.1,Москва,flat,without_repair,2
102,"Воронежская улица, 32к2",9500000,246113,12,12,1,38.6,Москва,flat,without_repair,2
103,"Кустанайская улица, 7к4",10490000,268286,14,14,1,39.1,Москва,flat,without_repair,2
104,"Кустанайская улица, 7к4",10150000,247560,14,14,1,41.0,Москва,flat,without_repair,2
105,"Старобитцевская улица, 23к1",9570000,222558,14,14,1,43.0,Москва,flat,without_repair,2
106,"улица Берзарина, 21",9700000,253926,17,17,1,38.2,Москва,flat,standard,1
107,"улица Бориса Пастернака, 47",10600000,279683,17,17,1,37.9,Москва,flat,standard,1
108,"Венёвская улица, 9",10300000,271052,17,17,1,38.0,Москва,flat,standard,1
109,"проспект Вернадского, 50А",10990000,333030,16,16,1,33.0,Москва,flat,standard,1
110,"Юрловский проезд, 14к1",11900000,321621,17,17,1,37.0,Москва,flat,standard,1
111,"Чертановская улица, 57",8200000,227777,9,9,1,36.0,Москва,flat,standard,1
112,"улица Раменки, 9к2",14450000,370512,17,17,1,39.0,Москва,flat,standard,1
113,"Клязьминская улица, 4",8800000,252149,12,12,1,34.9,Москва,flat,standard,1
114,"Тарханская улица, 6",11000000,268292,16,16,1,41.0,Москва,flat,standard,1
115,"Чечёрский проезд, 24к2",8600000,286666,12,12,1,30.0,Москва,flat,standard,1
116,"улица Ротерта, 11",10300000,266839,12,12,1,38.6,Москва,flat,standard,2
117,"Мичуринский проспект, 21к1",16500000,431937,17,17,1,38.2,Москва,flat,standard,2
118,"Липецкая улица, 13",9900000,253846,12,12,1,39.0,Москва,flat,standard,2
119,"улица Амундсена, 5",12490000,318622,12,12,1,39.2,Москва,flat,standard,2
120,"Задонский проезд, 34к1",10300000,250000,14,14,1,41.2,Москва,flat,standard,2
121,"улица Лескова, 23",9990000,254846,12,12,1,39.2,Москва,flat,standard,2
122,"Хабаровская улица, 8",9800000,233333,12,12,1,42.0,Москва,flat,standard,2
123,"Загорьевская улица, 23к2",9750000,252590,12,12,1,38.6,Москва,flat,standard,2
124,"Магнитогорская улица, 3",9000000,229591,12,12,1,39.2,Москва,flat,standard,2
125,"Зеленоград, к1621",8900000,228205,14,14,1,39.0,Зеленоград,flat,standard,2
126,"Большая Филёвская улица, 43",14000000,404624,9,9,1,34.6,Москва,flat,well_done,1
127,"улица Маршала Голованова, 20",11700000,309523,16,16,1,37.8,Москва,flat,well_done,1
128,"улица Бестужевых, 17",11700000,334285,16,16,1,35.0,Москва,flat,well_done,1
129,"Челобитьевское шоссе, 14к3",11500000,301837,22,22,1,38.1,Москва,flat,well_done,1
130,"Белозерская улица, 17",10000000,266666,16,16,1,37.5,Москва,flat,well_done,1
131,"улица Никитина, 12",9700000,259358,17,17,1,37.4,Московский,flat,well_done,1
132,"Большая Академическая улица, 77к2",13300000,332500,16,16,1,40.0,Москва,flat,well_done,1
133,"Зеленоград, к1501",8600000,225721,14,14,1,38.1,Зеленоград,flat,well_done,1
134,"Ярославское шоссе, 135",9500000,295031,9,9,1,32.2,Москва,flat,well_done,1
135,"улица Николая Химушина, 1",8999999,267857,9,9,1,33.6,Москва,flat,well_done,1
136,"Зеленоград, к1107",8900000,258720,22,22,1,34.4,Зеленоград,flat,well_done,2
137,"Ленинградское шоссе, 29",16999999,407673,17,17,1,41.7,Москва,flat,well_done,2
138,"улица Академика Анохина, 2к3",20500000,366071,21,21,1,56.0,Москва,flat,well_done,2
139,"Филёвский бульвар, 16",12350000,307980,16,16,1,40.1,Москва,flat,well_done,2
140,"Челябинская улица, 6",12000000,303797,12,12,1,39.5,Москва,flat,well_done,2
141,"Куликовская улица, 9к1",12500000,321336,12,12,1,38.9,Москва,flat,well_done,2
142,"Домодедовская улица, 6к2",12000000,309278,12,12,1,38.8,Москва,flat,well_done,2
