,address_name,price,square_price,floors,total_floors,rooms,area,local,type_home,remont,balcon
0,"улица Липчанского, 6",10400000,266666,15,17,1,39.0,Москва,loyout,design,1
1,"улица Маршала Голованова, 13",11900000,316489,8,17,1,37.6,Москва,loyout,design,1
2,"улица Введенского, 20к1",13300000,380000,9,9,1,35.0,Москва,loyout,design,1
3,"Варшавское шоссе, 50",12799000,365685,12,12,1,35.0,Москва,loyout,design,1
4,"Профсоюзная улица, 85к1",13800000,431250,4,9,1,32.0,Москва,loyout,design,1
5,"Сочинская улица, 3к1",11200000,297082,6,17,1,37.7,Москва,loyout,design,1
6,"улица Чичерина, 2/9",12650000,316250,15,16,1,40.0,Москва,loyout,design,1
7,"Батайский проезд, 5",8900000,234210,16,16,1,38.0,Москва,loyout,design,1
8,"улица Знаменские Садки, 11",10450000,261250,14,22,1,40.0,Москва,loyout,design,1
9,"улица Грина, 1к8",11750000,293750,24,24,1,40.0,Москва,loyout,design,1
10,"Радужный проезд, 3",9950000,213519,20,25,1,46.6,Московский,loyout,design,1
11,"2-й Грайвороновский проезд, 42к4",15000000,384615,6,23,1,39.0,Москва,loyout,design,1
12,"2-я Вольская улица, 24",10200000,270557,17,17,1,37.7,Москва,loyout,design,1
13,"улица Вилиса Лациса, 1к1",12699999,334210,12,12,1,38.0,Москва,loyout,design,1
14,"Полоцкая улица, 25к1",16000000,421052,9,16,1,38.0,Москва,loyout,design,1
15,"Привольная улица, 13к1",12000000,317460,4,17,1,37.8,Москва,loyout,design,1
16,"улица Бориса Пастернака, 31к2",11999000,303005,5,17,1,39.6,Москва,loyout,design,1
17,"Коломенская улица, 12к1",19800000,523809,16,19,1,37.8,Москва,loyout,design,1
18,"Штурвальная улица, 3с1",11800000,363076,4,12,1,32.5,Москва,loyout,design,1
19,"11-я Парковая улица, 29",12690000,367826,7,16,1,34.5,Москва,loyout,design,1
20,"Дубнинская улица, 61",11350000,322443,9,9,1,35.2,Москва,loyout,design,1
21,"Дмитровское шоссе, 169к4",12500000,328947,15,19,1,38.0,Москва,loyout,design,1
22,"Кубанская улица, 12к3",11150000,288113,8,12,1,38.7,Москва,loyout,design,1
23,"Пушкинская улица, 25",10750000,244318,9,17,1,44.0,Щербинка,loyout,design,1
24,"Новочерёмушкинская улица, 57к2",16500000,445945,3,17,1,37.0,Москва,loyout,design,1
25,"6-й Новоподмосковный переулок, 3",14200000,271510,2,16,1,52.3,Москва,loyout,design,1
26,"Нижняя Первомайская улица, 50",11700000,339130,10,16,1,34.5,Москва,loyout,design,1
27,"Магнитогорская улица, 7",9700000,281976,16,16,1,34.4,Москва,loyout,design,1
28,"Зеленоград, к1501",8800000,231578,13,14,1,38.0,Зеленоград,loyout,design,1
29,"улица Бориса Пастернака, 27к2",12400000,310776,14,17,1,39.9,Москва,loyout,design,1
30,"Селигерская улица, 18к3",14700000,388888,14,15,1,37.8,Москва,loyout,design,1
31,"улица Москвитина, 3к1",10900000,286842,11,17,1,38.0,Московский,loyout,design,1
32,"улица Олеко Дундича, 13к1",15950000,400753,17,17,1,39.8,Москва,loyout,design,1
33,"улица Маршала Кожедуба, 16к1",10600000,273901,10,12,1,38.7,Москва,loyout,design,1
34,"3-й Михалковский переулок, 20к2",12300000,341666,4,12,1,36.0,Москва,loyout,design,1
35,"улица Коштоянца, 6",18900000,510810,12,23,1,37.0,Москва,loyout,design,1
36,"улица Полины Осипенко, 22к3",17000000,447368,7,17,1,38.0,Москва,loyout,design,1
37,"Новочерёмушкинская улица, 16",16000000,432432,16,17,1,37.0,Москва,loyout,design,1
38,"улица Бориса Пастернака, 11",10700000,289189,7,17,1,37.0,Москва,loyout,design,1
39,"Беломорская улица, 18к2",12000000,294117,7,9,1,40.8,Москва,loyout,design,1
40,"Кировоградская улица, 20к3",11000000,297297,4,16,1,37.0,Москва,loyout,design,1
41,"улица Ляпидевского, 16",13500000,364864,14,17,1,37.0,Москва,loyout,design,1
42,"Ореховый бульвар, 61к1",12450000,319230,8,14,1,39.0,Москва,loyout,design,1
43,"Пролетарский проспект, 3",10900000,329305,9,22,1,33.1,Москва,loyout,design,1
44,"Зеленоградская улица, 17к1",13300000,345454,13,17,1,38.5,Москва,loyout,design,1
45,"Мичуринский проспект, 44к2",17100000,450000,10,16,1,38.0,Москва,loyout,design,1
46,"Сумской проезд, 2к1",11666999,366886,6,12,1,31.8,Москва,loyout,design,1
47,"Судостроительная улица, 18к1",14200000,348894,7,16,1,40.7,Москва,loyout,design,1
48,"Ботаническая улица, 17к1",19590000,514173,12,17,1,38.1,Москва,loyout,design,1
49,"Кировоградская улица, 20к3",11400000,309782,4,16,1,36.8,Москва,loyout,design,1
50,"Белореченская улица, 34к1",13700000,354005,14,15,1,38.7,Москва,loyout,design,1
51,"Оршанская улица, 9",13900000,356410,3,14,1,39.0,Москва,loyout,design,1
52,"Пятницкое шоссе, 21",13700000,342500,2,20,1,40.0,Москва,loyout,design,1
53,"улица Вертолётчиков, 1",9990000,260156,13,25,1,38.4,Москва,loyout,design,1
54,"Студёный проезд, 14",18599000,354942,9,25,1,52.4,Москва,loyout,design,1
55,"улица Шолохова, 8к1",14970000,340227,13,14,1,44.0,Москва,loyout,design,1
56,"Рождественская улица, 27к1",11000000,255813,4,25,1,43.0,Москва,loyout,design,1
57,"Муравская улица, 38к2",11150000,348437,19,25,1,32.0,Москва,loyout,design,1
58,"улица Молдагуловой, 22к1",9800000,281609,9,9,1,34.8,Москва,loyout,design,1
59,"Муравская улица, 38к1",12900000,318518,8,25,1,40.5,Москва,loyout,design,1
60,"2-й Южнопортовый проезд, 13",16300000,428947,5,22,1,38.0,Москва,loyout,design,1
61,"улица Брусилова, 27к3",12375000,296762,7,24,1,41.7,Москва,loyout,design,1
62,"Федеративный проспект, 28",12499000,320487,14,14,1,39.0,Москва,loyout,design,1
63,"улица Бориса Пастернака, 29к2",11200000,297082,4,17,1,37.7,Москва,loyout,design,1
64,"улица Бориса Пастернака, 31к2",12300000,307500,15,17,1,40.0,Москва,loyout,design,1
65,"Осенний бульвар, 10к1",17200000,452631,16,17,1,38.0,Москва,loyout,design,1
66,"Старокачаловская улица, 3к3",12700000,321518,4,17,1,39.5,Москва,loyout,design,1
67,"Алма-Атинская улица, 8к1",13950000,367105,13,14,1,38.0,Москва,loyout,design,1
68,"Озёрная улица, 17",15500000,449275,7,16,1,34.5,Москва,loyout,design,1
69,"улица Вилиса Лациса, 1к1",13900000,365789,8,16,1,38.0,Москва,loyout,design,1
70,"улица Чистова, 16к3",14500000,362500,11,18,1,40.0,Москва,loyout,design,1
71,"Нахимовский проспект, 25к3",11990000,341595,12,12,1,35.1,Москва,loyout,design,1
72,"Береговой проезд, 9к5",17600000,451282,10,12,1,39.0,Москва,loyout,design,2
73,"Измайловское шоссе, 17",13300000,375706,10,14,1,35.4,Москва,loyout,design,2
74,"Клязьминская улица, 17",11850000,307792,13,14,1,38.5,Москва,loyout,design,2
75,"Алма-Атинская улица, 10к1",10500000,272020,4,14,1,38.6,Москва,loyout,design,2
76,"Филёвский бульвар, 8к1",14500000,337209,9,12,1,43.0,Москва,loyout,design,2
77,"Новочеркасский бульвар, 49",13000000,298850,4,14,1,43.5,Москва,loyout,design,2
78,"улица Санникова, 3к1",11800000,310526,13,17,1,38.0,Москва,loyout,without_repair,1
79,"улица Академика Семёнова, 21",7600000,275362,7,7,1,27.6,Москва,loyout,without_repair,1
80,"Солнечная улица, 11",7850000,207671,6,17,1,37.8,Московский,loyout,without_repair,1
81,"улица Липчанского, 2",9118000,235000,17,17,1,38.8,Москва,loyout,without_repair,1
82,"Дубнинская улица, 28к2",9300000,237244,12,12,1,39.2,Москва,loyout,without_repair,1
83,"Краснодарская улица, 12",8000000,227272,9,9,1,35.2,Москва,loyout,without_repair,1
84,"Илимская улица, 8/2",9200000,244031,16,16,1,37.7,Москва,loyout,without_repair,1
85,"Юрьевская улица, 11",9400000,293750,8,9,1,32.0,Москва,loyout,without_repair,1
86,"Люблинская улица, 61",10500000,276315,10,17,1,38.0,Москва,loyout,without_repair,1
87,"Сколковское шоссе, 8",9400000,284848,8,12,1,33.0,Москва,loyout,without_repair,1
88,"Коровинское шоссе, 3к2",10500000,283783,12,14,1,37.0,Москва,loyout,without_repair,1
89,"Пятницкое шоссе, 27к1",9950000,257772,12,17,1,38.6,Москва,loyout,without_repair,1
90,"улица Введенского, 26",13500000,352480,18,22,1,38.3,Москва,loyout,without_repair,1
91,"улица Шаболовка, 16к1",16700000,484057,11,14,1,34.5,Москва,loyout,without_repair,1
92,"Онежская улица, 36",9450000,295312,3,5,1,32.0,Москва,loyout,without_repair,1
93,"Митинская улица, 48к1",10900000,281653,14,14,1,38.7,Москва,loyout,without_repair,1
94,"улица Островитянова, 53к2",10500000,336538,7,16,1,31.2,Москва,loyout,without_repair,1
95,"Рождественская улица, 8",8900000,231168,9,17,1,38.5,Москва,loyout,without_repair,1
96,"Штурвальная улица, 5с2",10500000,291666,6,9,1,36.0,Москва,loyout,without_repair,1
97,"улица Липчанского, 2",9142000,235012,14,17,1,38.9,Москва,loyout,without_repair,1
98,"Каширское шоссе, 80к1",10500000,280748,5,17,1,37.4,Москва,loyout,without_repair,1
99,"2-я Вольская улица, 7к1",7800000,208000,6,17,1,37.5,Москва,loyout,without_repair,1
100,"Цимлянская улица, 2",9300000,245382,4,17,1,37.9,Москва,loyout,without_repair,1
101,"Большая Черкизовская улица, 26к3",8500000,270700,2,5,1,31.4,Москва,loyout,without_repair,1
102,"улица Липчанского, 2",9142000,235012,12,17,1,38.9,Москва,loyout,without_repair,1
103,"улица Генерала Тюленева, 7к2",10450000,298571,3,9,1,35.0,Москва,loyout,without_repair,1
104,"Домодедовская улица, 38к2",8800000,227390,12,12,1,38.7,Москва,loyout,without_repair,1
105,"Профсоюзная улица, 101к1",10500000,300000,1,14,1,35.0,Москва,loyout,without_repair,1
